image,Grayscale Blend,Denoise Strength,Saturation Level,output,timestamp
.gradio\flagged\image\172ee541681ef88c2547\photo_2025-05-04_17-11-33.jpg,0,6,0,.gradio\flagged\output\29afd6be653fd489b7a1\image.webp,2025-05-08 22:22:35.880995
.gradio\flagged\image\98df2ab46a2190fabc42\photo_2025-05-04_17-11-33.jpg,0,6,0,.gradio\flagged\output\4763cf88e0c542ba2a5a\image.webp,2025-05-08 22:22:40.285902
